,title,genre,summary
26,The Unwilling Warlord,fantasy," ~Plot outline description~ --> The Kingdom of Semma is on the verge of war but the VIII Hereditary Warlord has died. The King sent out a search party to the Hegemony of Ethshar where with the aid of magic they track down the heir to the title, the Unwilling IX Warlord Sterren. The story evolves as Sterren, along with assorted others hired to help in the war, is hauled off from his career as a low stakes gambler to Semma. One of his companions is Vond, a master Warlock who is feeling the Calling and who is seeking to get as far away from Aldagmor as he can because once a Warlock gives in to the Calling they are drawn to Aldagmor and are never seen again. Vond takes a liking to Sterren who was actually apprenticed as a Warlock for three days before being dismissed as unable to perform. Of course it is against the Guild law for any magician to practice in more than one field so Sterren was disqualified to take up any of the other studies. Not long after arriving in Semma, Vond discovers a second source of power for Warlockry and quickly becomes the most powerful magician in the Small Kingdoms."
27,Keeper,fantasy," After unintentionally ruining a blue moon day by messing up her guardian's crab gumbo and breaking her favorite wooden bowl, causing a friend's ukelele to break, as well as wrecking the plants of her elderly neighbor, Keeper decides to make everything right. Taking with her seven wooden figurines of different mermaids, her dog BD, and a charm she had since she was a girl, Keeper sets out to find her mother, Meggie Marie, who has not been seen in seven years."
28,Ptolemy's Gate,fantasy," The British Empire is falling apart. Many commoners are unhappy with the current government, though none of the commoners claim responsibility for the status quo. The magician's demons are being assaulted by the children's natural abilities to see and resist the demons. (All of the magicians in the government were originally commoners whose parents sold them to the government at a young age, so it is not hard to understand why they are such a heartless group of people, concerned only with power and wealth.) Some commoners advocate slow reform, while others advocate open revolt, while still others say the commoners should learn how to summon spirits of their own to combat those spirits belonging to the magicians. Ptolemy's Gate concludes with a council of surviving magicians and important commoners trying to work out a government that is beneficial to everyone. Kitty Jones eventually unearths the reason why humans and spirits are locked into the endless cycle, that humans do not understand the nature of djinni and summon them only as powerful, but dangerous, slaves, not equals. This theory is confirmed by Bartimaeus who states that his greatest master, Ptolemy, was the only human who treated his servants as equals and tried to build a bridge between djinni and humans. However, Ptolemy misguidedly believed many others would follow in his footsteps; the only other person to ever successfully cross into the Other Place was Kitty. England's domestic turmoil has taken its toll on John Mandrake. Mandrake is friendless and constantly watched by his numerous enemies. In the three years since The Golem's Eye there have been several attempts on Mandrake's life. His years as a high ranking government official have made Mandrake merciless, and he treats all of his servants cruelly, especially Bartimaeus. However, events in Ptolemy's Gate shatter Mandrake's confidence in what he has become. The transformation from Mandrake to Nathaniel is much more rapid than the one from Nathaniel to Mandrake. Nathaniel drops the name John Mandrake all together, as well as the fear of others knowing his true name, humbly telling it to Kitty, with whom he seems to have struck up a newfound friendship, and boldly proclaiming it to the spirit Nouda. With the end of Mandrake, Nathaniel becomes all that Ptolemy hoped to be. Nathaniel willingly allows Bartimaeus to share his body to combat Nouda and his army of hybrids, using Gladstone's staff, a fusion that forever bridges the gap between humans and djinn. However, at the last moment, he dismisses Bartimaeus and then sacrifices himself to destroy the spirit Nouda. This incident was similar to what Ptolemy did in the moments before he died."
29,The Roots of the Mountains,fantasy," The story is set in the Burgdales, a group of small Germanic settlements in the valleys at the foot of a mountain range, and the neighboring woodlands and pastures. The area is inhabited by the interdependent Dalemen, weavers, smiths, and traders, Woodlanders hunters and carpenters, and Shepherds, respectively. Their society is challenged by disruptions from the outside world in the form of the Sons of the Wolf, the descendants of the Wolfings from the previous novel, and the invading Huns or ""Dusky Men."" The Sons of the Wolf, driven from their original country to the Burgdales by the Huns, continue to resist the invaders as a frontier force guarding their new home. The somewhat troubled integration of the Sons of the Wolf into the society they are protecting is told in the story of five lovers representing both peoples, four of whom eventually marry. Morris projected a sequel to The Roots of the Mountains to be called The Story of Desiderius, which was never completed."
32,Conan the Liberator,fantasy," Following the events of the story ""The Treasure of Tranicos"", Conan joins a conspiracy of former comrades-in-arms to overthrow Numedides, the mad and tyrannical king of Aquilonia. As commander of the rebel forces, he has the prospect of becoming king himself if they succeed, but he has not only Numedides' loyal troops, led by General Procas, to overcome, but the spells of the evil sorcerer Thulandra Thuu. Chronologically, Conan the Liberator overlaps the events of the story ""Wolves Beyond the Border"", and is followed by the story ""The Phoenix on the Sword""."
33,Curse of the Mistwraith,fantasy," Born on a splinter world, Lysaer and Arithon are half-brothers raised apart in enmity. Cast through a Worldsend Gate, they arrive in Athera, the ancient world of their ancestors cloaked in the fog of the malicious Mistwraith. Found by the Fellowship of Seven and urged to fulfill a prophecy which will free Athera from the Mistwraith and allow the clans of the Old Bloodlines to rule again. Putting aside their differences in the new world, the brothers find common cause and through paired gifts of light and shadow, succeed in binding the Mistwraith with help from the Fellowship. Unbeknownst to the brothers and their Sorcerer guides, one wraith escaped containment and seeks retribution against the two. During Arithon's crowning as Athera's first High King in more than five hundred years, the wraith binds Lysaer into irrational hatred of his half-brother, a curse he transfers to Arithon after the botched ceremony. Rather than succumb to the curse, Arithon flees into a winter storm, finding solace in the outlawed clans dwelling in the forest. Lysaer gathers an army to follow Arithon, led by the vicious bounty hunters who capture, kill and sell members of the clans. Though initially resistant to the idea of leading a guerilla war against the army, Arithon reluctantly assumes command upon realizing it is the only alternative to the extinction of the clans. The battles that ensue exact horrific slaughter on both sides, eventually resulting in a stalemate that forces Lysaer to withdraw without killing his brother. Arithon in turn has his mage-gift crippled through guilt. While Lysaer returns to the cities to muster a greater army and more support for his fratricidal war, Arithon becomes apprenticed to Athera's Masterbard, departing the clans in disguise."
34,Archangel,fantasy," Angels and mortals, who need one another but have a love-hate relation, inhabit the land of Samaria. The angels have wings and fly, and are taller and stronger than humans. Legends state that angels were made by Jovah to oversee Samaria under the guidance of the Archangel. The angels are supposed to protect humans, answer their petitions, solve their problems, and intercede to god for them by petitioning the god Jovah through song, especially for rain when the crops need it and the sun when it is stormy. In addition, the angels must sing to Jovah at the annual Gloria held on the Plain of Sharon, otherwise god would destroy the world. The Archangel and his consort, the Angelica, lead this mass in praise of Jovah. Archangels do not serve for life, but every twenty years Jovah selects a new Archangel. Samaria is divided into three regions, Gaza, Bethel and Jordana, separated by rivers. Each region has an angel hold or fortress that acts as the governing center for the region. However, god destroyed that of Jordana, at Windy Point. The citizens of Gaza, the Manadavvi, are highly cultured and wealthy. The Jansai, who are calculating and greedy merchants, and run the Edori slave trade inhabit Jordana. The Edori are the wanderers and frequently become enslaved by the Jansai. The Oracle has declared that the angel Gabriel is to be the next Archangel. However, Raphael, the current Archangel, who is corrupt and uses his position for himself, does not want to step down. Gabriel has an additional problem in that he procrastinated getting married. He tracks down the mortal that god has selected be his wife, but she has her own thoughts about the marriage and the expectations of her as the archangel’s consort, the Angelica. Rachel, an Edori slave, dislikes angels because of what they had done to her family when she was younger. Gabriel is faced with many trials having to contend with Raphael on the one hand, and his reluctant wife, who is a constant thorn-in-the-side. But the trials and tribulations confronting Gabriel and Rachel brings them close together and they finally realize that they love each other. The story ends with Gabriel and Rachael singing together at the Gloria, thus satisfying the wishes of god. * Archangel (Samaria book 1) (Ace Books, 1997) * Jovah's Angel (Samaria book 2) (Ace Books, 1998) * The Alleluia Files (Samaria book 3) (Ace Books, 1999) * Angelica (Samaria book 4) (Ace Books, 2003) Set before the first book Archangel. * Angel-Seeker (Samaria book 5) (Ace Books, 2004)"
37,Rushing to Paradise,fantasy," Dr. Barbara is a disgraced doctor who forms a small band of environmentalists to attempt to save the albatross from nuclear testing by the French government on the remote Pacific island of St.Esprit. Neil, a naïve 16 year old, joins the group and the story is told from his perspective. During an illegal landing on the island, Neil is caught on film being shot in the foot by a French soldier. The subsequent news coverage makes Neil, and their environmental campaign, media celebrities. This allows a return visit to the island with a larger and more eccentric group of campaigners. Whilst attempting to land, a French navy frigate collides with their boat. This event is broadcast live to the world by the cameraman who dies in the collision. The subsequent adverse news coverage causes the French to leave the campaigners unmolested on the island. The coverage also leads to a deluge of gifts from well wishers all over the world, a steady stream of visitors and a growing collection of endangered animals which are meant to use the island as sanctuary. Visitors include a representative from Club Med who investigates whether the island can be turned into a resort. These excesses cause Dr. Barbara to manipulate Neil and other residents to commit ever greater acts of sabotage to cut themselves off from the outside world. Gradually, the male residents of the island (except Neil) become ill and slowly die under the 'care' of Dr. Barbara. As fewer able bodied residents are left, the endangered animals they are supposed to be saving are killed and eaten. Slowly, Neil realises that his role is to father as many children as possible from the female residents. As more visitors arrive on the island, the female members stay and the male members disappear. When another young man arrives on the island, Neils role as stud is in jeopardy and he too becomes ill whilst the new arrival is kept healthy. Slowly, over the course of the story, the environmentalists change from being the sane ones in an insane world into total insanity as Dr. Barbara's all female 'paradise' is constructed. Neil and the remaining residents are rescued in the nick of time by the French navy after a couple who only just manages to escape alerts the authorities to what is really happening on the island."
40,The Crystal Palace,fantasy," Sorcerer Cray Ormoru and his friend, the seer Feldar Sepwin, craft an enchanted mirror that allows whoever gazes upon it to see their heart's desire. For Cray himself, the mirror remains blank for many years, until one day he sees in it the image of a young girl. With no idea of who she is, he watches the girl transform into a lovely woman over the years, and Cray realizes that he is destined to find her. When he does, he learns that this is Aliza, a sorceress who lives in a crystal palace which is partly within the demon realm and who is dedicated solely to the study of her craft. Cray finds Aliza to be a skilled young sorceress, but also cold, aloof, and entirely focused on sorcery. Cray encourages her to take an interest in the outside world and forms a budding friendship. However, this friendship is strongly discouraged by Aliza's sorcerer grandfather, Everand. Despite Everand's disapproval, Aliza and Cray travel to the demon realm and also to the home of Cray's sorceress mother, Delivev. During this latter journey, Aliza looks into the mirror of heart's desire and causes it to shatter. This causes some initial confusion, but it is quickly revealed this is because Aliza's soul has been stolen from her. Ultimately, her grandfather Everand is shown to be a villain of the worst degree. He uses Aliza's soul and his capture of Feldar as leverage to demand Aliza and Cray's obedience. However, Cray rallies his allies from the demon realm in order to confront and defeat Everand and free Aliza's soul. With her soul freed, Cray and Aliza realize their love for each other."
43,Tunnels,fantasy," The main influence in fourteen-year-old Will Burrows' life is his father, Dr. Burrows, and together they share an interest in archaeology and a fascination for the buried past. When Dr. Burrows begins to notice unusual people where they live in Highfield and then promptly goes missing, Will and his friend, Chester, go in search of him. They discover a blocked passageway behind bookshelves in the cellar of the Burrows home and re-excavate it. The passage leads to a door set into the rock, and beyond the door is an old lift that takes them to a cobblestone street underground. Lit by a row of orb-like lamps, they come across houses that appear to be carved out of the walls themselves. They are soon captured by the police of the underground community known as the Colony. In prison, Will is visited by Mr. Jerome and his son Cal. They reveal Will was actually born in the Colony, and they are his real family. Will is eventually released from the prison and taken to the Jerome home. There Uncle Tam is delighted to see him, and informs Will that his stepfather was recently there, and had willingly traveled down into the Deeps&nbsp;— a place even deeper in the Earth than The Colony. Will learns that the Styx, the religious rulers of the Colony, are either going to enslave Chester or banish him to the Deeps to fend for himself. Will refuses to abandon his friend, and Uncle Tam formulates a plan for him to rescue Chester, and to take him back to the surface. Will and his brother Cal try to rescue Chester, but the Styx arrive and they are forced to leave Chester behind. They avoid the Styx soldiers who patrol the city with their vicious stalker attack dogs, and eventually emerge on the bank of the Thames. Will makes for his home in Highfield, but there Will's health deteriorates, so Cal helps him to his Auntie Jean's flat where he recovers. Soon they return underground to find his father and attempt a second rescue of Chester. They encounter another Styx patrol, and Uncle Tam kills the leader of the Styx, whom he calls Crawfly, but is mortally wounded in the fight, then the strong willed Uncle Tam choses to stay behind. With the help of Imago Freebone, a member of Uncle Tam's gang, Will and Cal escape and go on to find Chester. They find Chester in the train going to the Deeps and travel there with him. In the book's final scene, Will's sister Rebecca, who is a Styx implanted in his family to monitor him, kills Imago by poison."
44,The Mists of Avalon,fantasy," Mists of Avalon is a generations-spanning retelling of the Arthurian legend, but bringing it back to its Brythonic roots (see Matter of Britain). Its protagonist is Morgaine, who witnesses the rise of Uther Pendragon to the throne of Camelot. As a child, she is taken to Avalon by High Priestess Viviane, her maternal aunt, to become a priestess of the Mother Goddess and witnesses the rising tension between the old Pagan and the new Christian religions. At one point, she is given in a fertility ritual to a young man she will later learn is Arthur, her half-brother. Unbeknownst to Arthur, Morgaine conceives a child, Gwydion, later called Mordred, as a result of the ritual. After Uther dies, his son Arthur claims the throne. Morgaine and Viviane give him the magic sword Excalibur, and with the combined force of Avalon and Camelot, Arthur drives the invasion of the Saxons away. But when his wife Gwenhwyfar fails to produce a child, she is convinced that it is a punishment of God: firstly for the presence of pagan elements (a stance which Morgaine deeply resents), and secondly, for her forbidden love for Arthur's finest knight Lancelet. She increasingly becomes a religious fanatic, and relationships between Avalon and Camelot (i.e. Morgaine and herself) become hostile. When the knights of the Round Table of Camelot leave to search for the Holy Grail, Mordred seeks to usurp the throne. In a climactic battle, Arthur's and Mordred's armies square off, and in the end Avalon and Arthur are magically removed from the circles of the world. It is Morgaine alone who lives to tell the tale of Camelot."
47,Kindred Spirits,fantasy," The book narrates the first meeting between dwarven metalsmith, Flint Fireforge and a young Tanis Half-Elven. While working and living in his hometown of Solace creating jewelry, Flint receives a wondrous summons from the Speaker of the Sun, Solostran who admires Flint's work. Flint journeys to the fabled elven city of Qualinost, where he spends every Spring working on jewelry and projects for the Speaker of the Sun. Foreigners are not allowed in Qualenesti, therefore Flint finds himself an outcast. There he meets Tanis, a thoughtful youth born of a tragic union between elf and man. Flint and Tanis, each being a misfit in their own ways, Flint for being a dwarf and Tanis for being of mixed race, find themselves unlikely friends."
48,House of Chains,fantasy," House of Chains takes place immediately after the events of Deadhouse Gates on the subcontinent of Seven Cities. The Chain of Dogs - the evacuation of 50,000 Malazan civilians across 1,500 miles of hostile territory - has ended in the tragic loss of the entire 7th army and its heroic commander, Coltaine. However, with their sacrifice was bought the lives of nearly 30,000 refugees. Meanwhile, the Chain of Dogs has become a legend spreading across Seven Cities, cowing even those responsible for its destruction. Now Adjunct Tavore Paran has arrived at the head of the 14th Army, largely consisting of untried recruits. Their mission is to advance into the heart of the Holy Desert Raraku, the very heart of the rebellion known as the Whirlwind, and destroy Sha'ik and her forces once and for all. The rebels outnumber the Malazans vastly. However, all is not well in Sha'ik's camp and internal conflicts threatens to destroy her army before the Malazans can. Meanwhile, a mighty warrior named Karsa Orlong descends from his mountain fastness on Genabackis, beginning a journey that will live in legend, and the thief Crokus and assassin Apsalar find themselves drawn into a desperate struggle for control of the Throne of Shadow. Finally, a warrior named Trull Sengar is rescued from certain death with news of a terrible new foe arising to trouble all the world..."
51,The Little White Horse,fantasy," Maria Merryweather becomes an orphan at age 13, upon her father's death in 1842. She is sent to the Moonacre Manor somewhere in the west of England, accompanied by her governess Miss Heliotrope and dog Wiggins. There she finds herself in a world out of time. Her cousin and guardian Sir Benjamin Merryweather is one of the ""sun"" Merryweathers, and she loves him right away, as sun and moon Merryweathers do. Maria discovers that there is an ancient mystery about the founding of the estate. She is aided by wonderful people and magical beasts, but it is only by self-sacrifice and perseverance, too, that Maria is able to save Moonacre, right the wrongs, reunite lost loves and finally bring peace to the valley."
52,Indiana Jones and the Seven Veils,fantasy," After barely escaping an archaeological dig in Tikal, Guatemala with his life, Dr. Henry Jones Jr. makes his way back to New York. Upon his return, he learns of the recent discovery of the mysterious writings of a missing British explorer, Colonel Percy Fawcett. Though Colonel Fawcett himself still remains missing, his rediscovered work tells a story that could drastically change history and challenge several firmly held scientific beliefs. Within those pages, an incredible picture begins to take shape of a long lost city in the jungles of Brazil and the apparently true legend of a red-headed race, possibly descended from ancient Celtic Druids. Fascinated by such a prospect, and with the lovely Deidre Campbell at his side, Indiana Jones sets out for the Amazon. However, as usual, getting there will prove to be the true adventure. And if he does manage to survive the journey, who can tell what dangers await within the mythical city itself."
53,Slan,fantasy," Slans are evolved humans, named after their alleged creator, Samuel Lann. They have the psychic abilities to read minds and are super-intelligent. They possess near limitless stamina, ""nerves of steel"", and superior strength and speed. When Slans are ill or seriously injured, they go into a healing trance automatically. There are two kinds of Slans. One has tendrils and can read the minds of ordinary humans and telepathically communicate with other Slans. The tendrils are golden in colour, making it easy to spot a slan. These Slans are hunted to near extinction. The other type of Slan is tendrilless. They are still super intelligent but do not have psychic capabilities, only the ability to hide their thoughts from the first type of Slan. Kier Gray is the leader of the human society and promises to exterminate the Slans. As the novel begins, Jommy Cross (a telepathic Slan of the first type) is brought with his mother to the capital, Centropolis. They are both discovered, and Jommy's mother is killed. Jommy is only nine years old and manages to escape. Jommy Cross is not only the heir to the brilliant inventions of his father, but he represents the last hope of his race to save it from genocide. Because of the importance of his mission, he is opposed by various enemies. Jommy seeks to destroy Kier and in confronting him discovers an astonishing secret: Kier Gray is also a Slan."
58,Xone of Contention,fantasy," Dug, the Mundane who had had an adventure in Xanth through the Companions of Xanth computer game, is now happily married to Kim. His friend Edsel on the other hand is on the rock with his marriage to Pia, Dug's old girlfriend, who wants a divorce. Edsel, not wanting to lose her strikes a deal with her, they take a two week vacation in Xanth, switching with Nimby and Chlorine who want to learn about Mundania, and if she doesn't change her mind, he won't fight it."
59,Wolfskin,fantasy," Eyvind is a young Viking man who wishes to be a Wolfskin (a berserker warrior of Thor) like his brother. Somerled, a quiet boy of the same age, befriends Eyvind and binds him to loyalty with a blood oath. After becoming a Wolfskin, Eyvind voyages to the Isles of Light with Somerled, his brother Eirek, Somerled's brother Ulf (the leader of the expedition) and many others. The Vikings quickly establish a peace treaty with the native island folk and build a settlement. Then Ulf is murdered sadistically, suspended by ropes from a cliff's edge to die of exposure, leaving his position to Somerled- who immediately breaks the treaty. He sends out the Wolfskins to destroy the small army mustered by the natives in retaliation. Eyvind, seeing that the army is composed of the very young and the very old, suffers a breakdown brought on by the moral crisis. The native princess and priestess, Nessa, finds him and cares for him, healing his wounds and coldness of spirit. Alone in a hidden cave, with only an old priestess for company, the two young people fall in love. But Eyvind is soon faced with another crisis: he must face Somerled with newfound proof that the current ruler killed his own brother. In the Viking hall, Eyvind's accusations are smothered with violence and he is imprisoned, despite the efforts of his few remaining friends to help him. Finally, Nessa creates and brings to the hall a harp made out of Ulf's bones, with Ulf's voice (magically restored) as the final voice of truth that cannot be ignored. Somerled is banished from the Isles, bound by an oath to Eyvind to live as long as possible, and Eyvind stays in the Isles."
