Title,Description,Genres1
PortnoyÃ¢â¬â¢s Complaint,"The famous confession of Alexander Portnoy, who is thrust through life by his unappeasable sexuality, yet held back at the same time by the iron grip of his unforgettable childhood. Hilariously funny, boldly intimate, startlingly candid, PortnoyÃ¢â¬â¢s Complaint was an immediate bestseller upon its publication in 1969, and is perhaps RothÃ¢â¬â¢s best-known book.Portnoy's Complaint n. [after Alexander Portnoy (1933-)] A disorder in which strongly-felt ethical and altruistic impulses are perpetually warring with extreme sexual longings, often of a perverse nature. Spielvogel says: 'Acts of exhibitionism, voyeurism, fetishism, auto-eroticism and oral coitus are plentiful; as a consequence of the patient's ""morality,"" however, neither fantasy nor act issues in genuine sexual gratification, but rather in overriding feelings of shame and the dread of retribution, particularly in the form of castration.' (Spielvogel, O. 'The Puzzled Penis', Internationale Zeitschrift fur Psychoanalyse, Vol. XXIV, p. 909.) it is believed by Spielvogel that many of the symptoms can be traced to the bonds obtaining in the mother-child relationship.",Fiction
Herzog,"This is the story of Moses Herzog, a great sufferer, joker, mourner, and charmer. Although his life steadily disintegrates around him - he has failed as a writer and teacher, as a father, and has lost the affection of his wife to his best friend - Herzog sees himself as a survivor, both of his private disasters and those of the age. He writes unsent letters to friends and enemies, colleagues and famous people, revealing his wry perception of the world around him, and the innermost secrets of his heart.",Fiction
Momo,"Eine gespenstische Gesellschaft ""grauer Herren"" ist am Werk und veranlasst immer mehr Menschen, Zeit zu sparen. Aber in Wirklichkeit betrÃÂ¼gen sie die Menschen um diese ersparte Zeit. Als die Not am grÃÂ¶ÃÅ¸ten ist und die Welt ihnen schon endgÃÂ¼ltig zu gehÃÂ¶ren scheint, entschlieÃÅ¸t sich Meister Hora, der geheimnisvolle ""Verwalter der Zeit"", zum Eingreifen. Doch dazu braucht er die Hilfe eines Menschenkindes. Die Welt steht still und Momo, die struppige kleine Heldin der Geschichte, kÃÂ¤mpft ganz allein, mit nichts als einer Blume in der Hand und einer SchildkrÃÂ¶te unter dem Arm, gegen das riesige Heer der ""grauen Herren"".",Fantasy
"Elantris (Elantris, #1)","Elantris was the capital of Arelon: gigantic, beautiful, literally radiant, filled with benevolent beings who used their powerful magical abilities for the benefit of all. Yet each of these demigods was once an ordinary person until touched by the mysterious transforming power of the Shaod. Ten years ago, without warning, the magic failed. Elantrians became wizened, leper-like, powerless creatures, and Elantris itself dark, filthy, and crumbling.Arelon's new capital, Kae, crouches in the shadow of Elantris. Princess Sarene of Teod arrives for a marriage of state with Crown Prince Raoden, hopingÃ¢â¬âbased on their correspondenceÃ¢â¬âto also find love. She finds instead that Raoden has died and she is considered his widow. Both Teod and Arelon are under threat as the last remaining holdouts against the imperial ambitions of the ruthless religious fanatics of Fjordell. So Sarene decides to use her new status to counter the machinations of Hrathen, a Fjordell high priest who has come to Kae to convert Arelon and claim it for his emperor and his god.But neither Sarene nor Hrathen suspect the truth about Prince Raoden. Stricken by the same curse that ruined Elantris, Raoden was secretly exiled by his father to the dark city. His struggle to help the wretches trapped there begins a series of events that will bring hope to Arelon, and perhaps reveal the secret of Elantris itself.A rare epic fantasy that doesn't recycle the classics and that is a complete and satisfying story in one volume, Elantris is fleet and fun, full of surprises and characters to care about. It's also the wonderful debut of a welcome new star in the constellation of fantasy.",Fantasy
Jayber Crow,"Ã¢â¬ÅThis is a book about Heaven,Ã¢â¬Â says Jayber Crow, Ã¢â¬Åbut I must say too that . . . I have wondered sometimes if it would not finally turn out to be a book about Hell.Ã¢â¬Â It is 1932 and he has returned to his native Port William to become the town's barber. Orphaned at age ten, Jayber CrowÃ¢â¬â¢s acquaintance with loneliness and want have made him a patient observer of the human animal, in both its goodness and frailty. He began his search as a ""pre-ministerial student"" at Pigeonville College. There, freedom met with new burdens and a young man needed more than a mirror to find himself. But the beginning of that finding was a short conversation with ""Old Grit,"" his profound professor of New Testament Greek.""You have been given questions to which you cannot be given answers. You will have to live them outÃ¢â¬â¢perhaps a little at a time.""""And how long is that going to take?""""I don't know. As long as you live, perhaps.""""That could be a long time.""""I will tell you a further mystery,"" he said. ""It may take longer."" Wendell BerryÃ¢â¬â¢s clear-sighted depiction of humanityÃ¢â¬â¢s giftsÃ¢â¬â¢love and loss, joy and despairÃ¢â¬â¢is seen though his intimate knowledge of the Port William Membership.",Fiction
Lexicon,"At an exclusive school somewhere outside of Arlington, Virginia, students aren't taught history, geography, or mathematics--at least not in the usual ways. Instead, they are taught to persuade. Here the art of coercion has been raised to a science. Students harness the hidden power of language to manipulate the mind and learn to break down individuals by psychographic markers in order to take control of their thoughts. The very best will graduate as ""poets"", adept wielders of language who belong to a nameless organization that is as influential as it is secretive.Whip-smart orphan Emily Ruff is making a living running a three-card Monte game on the streets of San Francisco when she attracts the attention of the organization's recruiters. She is flown across the country for the school's strange and rigorous entrance exams, where, once admitted, she will be taught the fundamentals of persuasion by Bronte, Eliot, and Lowell--who have adopted the names of famous poets to conceal their true identities. For in the organization, nothing is more dangerous than revealing who you are: Poets must never expose their feelings lest they be manipulated. Emily becomes the school's most talented prodigy until she makes a catastrophic mistake: She falls in love.Meanwhile, a seemingly innocent man named Wil Jamieson is brutally ambushed by two strange men in an airport bathroom. Although he has no recollection of anything they claim he's done, it turns out Wil is the key to a secret war between rival factions of poets and is quickly caught in their increasingly deadly crossfire. Pursued relentlessly by people with powers he can barely comprehend and protected by the very man who first attacked him, Wil discovers that everything he thought he knew about his past was fiction. In order to survive, must journey to the toxically decimated town of Broken Hill, Australia, to discover who he is and why an entire town was blown off the map.As the two narratives converge, the shocking work of the poets is fully revealed, the body count rises, and the world crashes toward a Tower of Babel event which would leave all language meaningless. A brilliant thriller that connects very modern questions of privacy, identity, and the rising obsession of data collection to centuries-old ideas about the power of language and coercion, Lexicon is Max Barry's most ambitious and spellbinding novel yet.",Fiction
Cosmicomics,"Italo Calvino's extraordinary imagination and intelligence combine here in an enchanting series of stories about the evolution of the universe. He makes his characters out of mathematical formulae and simple cellular structures. They disport themselves among galaxies, experience the solidification of planets, move from aquatic to terrestrial existence, play games with hydrogen atoms, and even have a love life.During the course of these stories Calvino toys with continuous creation, the transformation of matter, and the expanding and contracting reaches of space and time. He succeeds in relating complex scientific concepts to the ordinary reactions of common humanity.William Weaver's excellent translation won a National Book Award in 1969Ã¢â¬ÅNaturally, we were all there,"" old Qfwfq said, ""where else could we have been? Nobody knew then that there could be space. Or time either: what use did we have for time, packed in there like sardines?Ã¢â¬ÂThe distance of the moon --At daybreak --A sign in space --All at one point --Without colors --Games without end --The aquatic uncle --How much shall we bet? --The dinosaurs --The form of space --The light-years --The spiral.",Fiction
"Mythago Wood (Mythago Wood, #1)","The mystery of Ryhope Wood, Britain's last fragment of primeval forest, consumed George Huxley's entire, and long, life. Now, after his death, his sons have taken up his work. But what they discover is beyond what they could have expected. For the Wood is a realm where myths gain flesh and blood, tapping primal fears and desires subdued through the millennia. A realm where love and beauty haunt your dreams -- and may drive you insane. Mythago Wood won the World Fantasy Award on its first publication in 1984, and secured Robert Holdstock's reputation as one of the major fantasy writers of our time. Now it returns to print in America for the first time in nearly a decade.",Fantasy
"Seraphina (Seraphina, #1)","Librarian Note: Alternate cover edition for ISBN 9780375866562.In her New York Times bestselling and Morris Award-winning debut, Rachel Hartman introduces mathematical dragons in an alternative-medieval world to fantasy and science-fiction readers of all ages. Four decades of peace have done little to ease the mistrust between humans and dragons in the kingdom of Goredd. Folding themselves into human shape, dragons attend court as ambassadors, and lend their rational, mathematical minds to universities as scholars and teachers. As the treaty's anniversary draws near, however, tensions are high.Seraphina Dombegh has reason to fear both sides. An unusually gifted musician, she joins the court just as a member of the royal family is murderedÃ¢â¬âin suspiciously draconian fashion. Seraphina is drawn into the investigation, partnering with the captain of the Queen's Guard, the dangerously perceptive Prince Lucian Kiggs. While they begin to uncover hints of a sinister plot to destroy the peace, Seraphina struggles to protect her own secret, the secret behind her musical gift, one so terrible that its discovery could mean her very life.",Fantasy
Samarkand,"Accused of mocking the inviolate codes of Islam, the Persian poet and sage Omar Khayyam fortuitously finds sympathy with the very man who is to judge his alleged crimes. Recognising genuis, the judge decides to spare him and gives him instead a small, blank book, encouraging him to confine his thoughts to it alone. Thus begins the seamless blend of fact and fiction that is Samarkand. Vividly re-creating the history of the manuscript of the Rubaiyaat of Omar Khayyam, Amin Maalouf spans continents and centuries with breathtaking vision: the dusky exoticism of 11th-century Persia, with its poetesses and assassins; the same country's struggles nine hundred years later, seen through the eyes of an American academic obsessed with finding the original manuscript; and the fated maiden voyage of the Titanic, whose tragedy led to the Rubaiyaat's final resting place - all are brought to life with keen assurance by this gifted and award-winning writer.",Fiction
Indigo,"Indigo is a color the human eye can never truly see, a slice of the spectrum imbued with the promise of invisibility. But in the dark world occupied by Jack Chambers' father, indigo will also lead to places of unknown treachery, and ultimately, to madness. As Jack tries to fulfill the terms of his father's last will and testament, he is led on a journey of the flesh and spirit, through the ancient landmarks of Rome, to a group of people who will stop at nothing in their pursuit of invisibility Among them, Jack will enter an incendiary relationship with a woman with an insatiable appetite for pleasure, dabble in a liaison forbidden by blood, and explore the exotic undersides of two cities worlds apart. Only after Jack glimpses both the intoxicating pleasures and hidden pitfalls of indigo can he perceive its horrid danger. Blending an exploration of the senses with a complex tale of relationships, Indigo is a stunningly literate thriller that signals the arrival of a powerful new voice.",Fiction
"Garden of Shadows (Dollanganger, #5)","Olivia dreamed of a sun-filled love, a happy life. Then she entered Foxworth Hall...V.C. Andrews' thrilling new novel spins a tale of dreadful secrets and dark, forbidden passions--of the time before Flowers in the Attic began. Long before terror flowered in the attic, thin, spinsterish Olivia came to Virginia as Malcolm Foxworth's bride. At last, with her tall handsome husband, she would find the joy she has waited for, longed for. But in the gloomy mansion filled with hidden rooms and festering desires, a stain of jealous obsession begins to spread... an evil that will threaten her children, two lovely boys and one very special, beautiful girl. For within one innocent child, a shocking secret lives... a secret that will taint the proud Foxworth name, and haunt all their lives forever!The wicked curse of the Dollanganger family begins in... Garden of Shadows(back cover)",Fiction
Faerie Wars,"When Henry Atherton helps Mr. Fogarty clean up around his house, he expects to find a mess and a cranky old man; what he doesn't expect to find is Pyrgus Malvae, crown prince of the Faerie realm, who has escaped the treacherous Faeries of the Night by traveling to the human world through a portal powered by trapped lightning. An egomaniacal demon prince, greedy glue factory owners Brimstone and Chalkhill, and the nefarious Lord Hairstreak, leader of the Faeries of the Night, all dream of ruling the Faerie realm and are out to kill Pyrgus. Enlisting the help of his sister, Holly Blue, and his new friend, Henry, Pyrgus must get back to the Faerie world alive before one of his many enemies gets to him instead. But how many portals are open, and can Pyrgus find the right one before it falls into the wrong hands? Conjuring scenes filled with vivid color, unforgettable detail, and fearless characters, author Herbie Brennan brings readers to the Faerie world, where nothing is ever what it seems and no one can be trusted.",Fantasy
"Resistance (Ilyon Chronicles, #1)","Ã¢â¬ÅDonÃ¢â¬â¢t you know? Animals like you have no soul.Ã¢â¬ÂCould God ever love a half-blood all of society looks upon with such fear and disdain? Jace once believed so, but when a tragic loss shatters the only peace heÃ¢â¬â¢s ever known, his faith crumbles as the nagging doubts heÃ¢â¬â¢s tried to put behind him descend on his grieving heart. With them come the haunting memories of the bloodstained past he longs to forget, but can never escape.Taken from home at a young age and raised to serve the emperor, Kyrin Altair lives every day under a dangerous pretense of loyalty. After her unique observation skills and perfect memory place her into direct service to the emperor, Kyrin finds herself in further jeopardy as it becomes increasingly difficult to hide her belief in ElÃÂ´m, the one true God.Following the emperorÃ¢â¬â¢s declaration to enforce the worship of false gods under the penalty of death, many lives are endangered. But there are those willing to risk everything to take a stand and offer aid to the persecuted. With their lives traveling paths they never could have imagined, Jace and Kyrin must fight to overcome their own fears and conflicts with society as they become part of the resistance.(Christian Fantasy/Clean New Adult/No Magic)",Fantasy
Amatore's Restaurant,"It is the end of another successful year for the Recreative Theatre Company and the cast have arranged to meet at Ristorante Amatore for their end-of-season dinner.As the evening progresses, each guest recalls a past sexual liaison. In these recollections we are transported to a variety of locations; the rolling countryside of Brittany to the brown cafÃÂ©s of Amsterdam, from the grandeur of Venice to the slums of Marseilles. The stories describe various situations: Prudence relates her encounters on a train journey and Colin makes a surprising discovery when he settles down to watch his favourite film. Some characters are driven by self-interest: the sociopath Nicole with her reckless behaviour towards her trusting nephew, and Colette who takes advantage of her unsuspecting tenant. A common theme unfolds: the hidden truths behind the motives for seduction. As the evening comes to a close, old alliances are re-kindled, new attachments are formed, while others are broken. Frustrations rise to the surface as truths are revealed. For some the evening is a great success, for others a disaster.WARNING: Adult content; there are passages which describe sex explicitly.",Fiction
Fawkes,"Thomas Fawkes is turning to stone, and the only cure to the Stone Plague is to join his fatherÃ¢â¬â¢s plot to assassinate the king of England.Silent wars leave the most carnage. The wars that are never declared, but are carried out in dark alleys with masks and hidden knives. Wars where color power alters the natural rhythm of 17th century London. And when the king calls for peace, no one listens until he finally calls for death.But what if death finds him first?Keepers think the Igniters caused the plague. Igniters think the Keepers did. But all Thomas knows is that the Stone Plague infecting his eye is spreading. And if he doesnÃ¢â¬â¢t do something soon, heÃ¢â¬â¢ll be a lifeless statue. So when his Keeper father, Guy Fawkes, invites him to join the Gunpowder PlotÃ¢â¬âclaiming it will put an end to the plagueÃ¢â¬âThomas is in.The plan: use 36 barrels of gunpowder to blow up the Igniter King.The problem: Doing so will destroy the family of the girl Thomas loves. But backing out of the plot will send his father and the other plotters to the gallows. To save one, Thomas will lose the other.No matter ThomasÃ¢â¬â¢s choice, one thing is clear: once the decision is made and the color masks have been put on, thereÃ¢â¬â¢s no turning back.",Fantasy
"Finnikin of the Rock (Lumatere Chronicles, #1)","Finnikin of the Rock and his guardian, Sir Topher, have not been home to their beloved Lumatere for ten years. Not since the dark days when the royal family was murdered and the kingdom put under a terrible curse. But then Finnikin is summoned to meet Evanjalin, a young woman with an incredible claim: the heir to the throne of Lumatere, Prince Balthazar, is alive.Evanjalin is determined to return home and she is the only one who can lead them to the heir. As they journey together, Finnikin is affected by her arrogance . . . and her hope. He begins to believe he will see his childhood friend, Prince Balthazar, again. And that their cursed people will be able to enter Lumatere and be reunited with those trapped inside. He even believes he will find his imprisoned father.But Evanjalin is not what she seems. And the truth will test not only Finnikin's faith in her . . . but in himself.",Fantasy
"Kushiel's Dart (PhÃÂ¨dre's Trilogy, #1)","The land of Terre d'Ange is a place of unsurpassing beauty and grace. It is said that angels found the land and saw it was good... and the ensuing race that rose from the seed of angels and men live by one simple rule: Love as thou wilt. PhÃÂ¨dre nÃÂ³ Delaunay is a young woman who was born with a scarlet mote in her left eye. Sold into indentured servitude as a child, her bond is purchased by Anafiel Delaunay, a nobleman with very a special mission... and the first one to recognize who and what she is: one pricked by Kushiel's Dart, chosen to forever experience pain and pleasure as one.PhÃÂ¨dre is trained equally in the courtly arts and the talents of the bedchamber, but, above all, the ability to observe, remember, and analyze. Almost as talented a spy as she is courtesan, PhÃÂ¨dre stumbles upon a plot that threatens the very foundations of her homeland. Treachery sets her on her path; love and honor goad her further. And in the doing, it will take her to the edge of despair... and beyond. Hateful friend, loving enemy, beloved assassin; they can all wear the same glittering mask in this world, and PhÃÂ¨dre will get but one chance to save all that she holds dear. Set in a world of cunning poets, deadly courtiers, heroic traitors, and a truly Machiavellian villainess, this is a novel of grandeur, luxuriance, sacrifice, betrayal, and deeply laid conspiracies. Not since Dune has there been an epic on the scale of Kushiel's Dart-a massive tale about the violent death of an old age, and the birth of a new.",Fantasy
"Eon: Dragoneye Reborn (Eon, #1)","Also Known As: Two Pearls of Wisdom, Eon: Rise of the Dragoneye, and Eon (All the same book just published with different publishers)Swordplay, dragon magic--and a hero with a desperate secretTwelve-year-old Eon has been in training for years. His intensive study of Dragon Magic, based on East Asian astrology, involves two kinds of skills: sword-work and magical aptitude. He and his master hope that he will be chosen as a Dragoneye--an apprentice to one of the twelve energy dragons of good fortune. But Eon has a dangerous secret. He is actually Eona, a sixteen-year-old girl who has been masquerading as a boy for the chance to become a Dragoneye. Females are forbidden to use Dragon Magic; if anyone discovers she has been hiding in plain sight, her death is assured.When Eon's secret threatens to come to light, she and her allies are plunged into grave danger and a deadly struggle for the Imperial throne. Eon must find the strength and inner power to battle those who want to take her magic...and her life.",Fantasy
"Everlost (Skinjacker, #1)","Nick and Allie don't survive the car accident...  ...but their souls don't exactly get where they're supposed to get either. Instead, they're caught halfway between life and death, in a sort of limbo known as Everlost: a shadow of the living world, filled with all the things and places that no longer exist. It's a magical, yet dangerous place where bands of lost children run wild and anyone who stands in the same place too long sinks to the center of the Earth.  When they find Mary, the self-proclaimed queen of lost kids, Nick feels like he he's found a home, but Allie isn't satisfied spending eternity between worlds. Against all warnings, Allie begins learning the ""Criminal Art"" of haunting, and ventures into dangerous territory, where a monster called the McGill threatens all the souls of Everlost.  In this imaginative novel, Neal Shusterman explores questions of life, death, and what just might lie in between.",Fantasy
Awoken,"Fourteen-year-old Michael Stevens has never been ordinary; no orphan who hears music coming from rocks considers himself a typical teenager. But life gets a lot more complicated when two-foot-tall, albino, doll-like men sneak into his room one night, transforming the harmless music into a frightening ability he cannot control. Soon, strangers in black suits begin to ask unsettling questions while unnatural animals with mismatched eyes haunt the streets. They are hunting, and not just Michael: anyone he cares about is in danger. With the help of a mysterious drifter, an annoying girl he's accidentally mutated, and one of those creepy doll men, Michael finds himself in the middle of a war that could forever change the world he knows - reconstructing the very definition of humanity.",Fantasy
"Angels & Demons (Robert Langdon, #1)","World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.(back cover)",Fiction
Matterhorn,"A big, powerful saga of men in combat, written over the course of thirty-five years by a highly decorated Vietnam veteran.Intense, powerful, and compelling, Matterhorn is an epic war novel in the tradition of Norman Mailer's The Naked and the Dead and James Jones's The Thin Red Line. It is the timeless story of a young Marine lieutenant, Waino Mellas, and his comrades in Bravo Company, who are dropped into the mountain jungle of Vietnam as boys and forced to fight their way into manhood. Standing in their way are not merely the North Vietnamese but also monsoon rain and mud, leeches and tigers, disease and malnutrition. Almost as daunting, it turns out, are the obstacles they discover between each other: racial tension, competing ambitions, and duplicitous superior officers. But when the company finds itself surrounded and outnumbered by a massive enemy regiment, the Marines are thrust into the raw and all-consuming terror of combat. The experience will change them forever.Written over the course of thirty years by a highly decorated Vietnam veteran, Matterhorn is a visceral and spellbinding novel about what it is like to be a young man at war. It is an unforgettable novel that transforms the tragedy of Vietnam into a powerful and universal story of courage, camaraderie, and sacrifice: a parable not only of the war in Vietnam but of all war, and a testament to the redemptive power of literature.A graduate of Yale University and a Rhodes Scholar at Oxford University, Karl Marlantes served as a Marine in Vietnam, where he was awarded the Navy Cross, the Bronze Star, two Navy Commendation Medals for valor, two Purple Hearts, and ten air medals. This is his first novel. He lives in rural Washington State.",Fiction
Jean-Christophe - I,"One word only! No more talk of money. I hate money--the word and the thing itself. If I am not rich, I am yet rich enough to give to my friend, and it is my joy to give all I can for him. Would not you do the same? And if I needed it, would you not be the first to give me all your fortune? But that shall never be! I have sound fists and a sound head, and I shall always be able to earn the bread that I eat. Till Sunday!",Fiction
